id,value,livingSpace
0,1750000.0,500.0
1,357660.0,153.0
2,699000.0,245.0
3,332950.0,148.0
4,352950.0,173.0
5,525000.0,135.0
6,464900.0,148.0
7,351000.0,129.0
8,303700.0,109.0
9,663701.0,233.0
10,333000.0,135.0
11,850000.0,250.0
12,850000.0,224.0
13,525000.0,275.0
14,750000.0,375.0
15,180000.0,150.0
16,346890.0,153.0
17,295000.0,150.0
18,518000.0,175.0
19,374939.0,138.0
20,615000.0,248.0
21,393999.0,144.0
22,948000.0,277.0
23,415000.0,286.25
24,377000.0,144.34
25,349000.0,125.81
26,529000.0,135.0
27,640000.0,220.0
28,945000.0,250.0
29,421499.0,132.0
30,700000.0,240.0
31,443948.0,138.0
32,1500000.0,400.0
33,465000.0,139.0
34,432000.0,138.0
35,432000.0,139.0
36,374939.0,138.0
37,295000.0,120.0
38,170000.0,60.0
39,670000.0,240.0
40,1495000.0,719.0
41,850000.0,300.0
42,435000.0,104.0
43,590000.0,160.0
44,795000.0,230.0
45,110000.0,81.0
46,1450000.0,592.0
47,749000.0,338.0
48,1850000.0,550.0
49,498000.0,190.0
50,379000.0,157.0
51,509987.0,156.0
52,479153.0,156.0
53,249000.0,106.0
54,419000.0,160.0
55,1250000.0,707.0
56,676646.0,132.0
57,1390000.0,365.0
58,695000.0,254.0
59,425000.0,200.0
60,1650000.0,300.0
61,295000.0,150.0
62,299000.0,170.0
63,415000.0,145.0
64,985000.0,320.0
65,501301.0,156.0
66,455000.0,200.0
67,379800.0,141.0
68,319000.0,130.0
69,259000.0,120.0
70,789000.0,376.0
71,289800.0,128.6
72,1177750.0,370.23
73,119900.0,54.6
74,595000.0,183.0
75,595000.0,390.0
76,595000.0,137.0
77,948000.0,277.0
78,359900.0,155.0
79,285000.0,130.0
80,325000.0,180.0
81,645000.0,330.0
82,695000.0,180.0
83,318000.0,135.0
84,640000.0,229.0
85,295900.0,134.0
86,299900.0,134.0
87,269900.0,122.0
88,279900.0,122.0
89,499218.0,110.0
90,415000.0,152.0
91,235000.0,140.0
92,299000.0,140.0
93,530979.0,132.0
94,603233.0,139.0
95,483158.0,102.0
96,493331.0,102.0
97,425000.0,130.0
98,279000.0,115.0
99,798000.0,220.0
100,750000.0,217.0
101,1500000.0,400.0
102,449000.0,140.0
103,399999.0,220.0
104,1450000.0,500.0
105,275000.0,116.0
106,790000.0,150.0
107,878000.0,180.0
108,729000.0,386.0
109,259000.0,140.0
110,650000.0,345.0
111,795000.0,277.0
112,428500.0,150.0
113,725000.0,569.0
114,469000.0,190.0
115,448878.0,138.0
116,443948.0,138.0
117,1250000.0,236.0
118,590000.0,135.0
119,220000.0,76.0
120,420000.0,120.0
121,890000.0,290.0
122,615000.0,150.0
123,1800000.0,380.0
124,330160.0,112.0
125,1200000.0,195.0
126,670000.0,286.0
127,196000.0,96.0
128,375000.0,216.0
129,496640.0,148.0
130,789000.0,229.64
131,239900.0,113.0
132,668000.0,182.0
133,295000.0,110.0
134,355000.0,130.0
135,255000.0,152.0
136,1700000.0,360.0
137,395000.0,200.0
138,288000.0,160.0
139,611000.0,566.0
140,620000.0,560.0
141,150000.0,120.0
142,228500.0,120.0
143,375000.0,150.0
144,445000.0,150.0
145,850000.0,450.0
146,450000.0,155.0
147,285000.0,111.6
148,920000.0,196.0
149,598000.0,261.0
150,328000.0,153.0
151,219000.0,121.0
152,380000.0,130.0
153,449500.0,245.0
154,1520000.0,360.0
155,275000.0,151.42
156,533760.0,132.0
157,390000.0,80.6
158,820000.0,320.0
159,550000.0,238.0
160,649000.0,141.0
161,357000.0,199.0
162,449000.0,160.0
163,798000.0,406.0
164,749000.0,199.0
165,415000.0,120.0
166,565000.0,158.0
167,330000.0,91.0
168,185000.0,78.0
169,195000.0,112.0
170,278000.0,128.0
171,448000.0,115.0
172,670000.0,240.0
173,499000.0,190.0
174,30000.0,50.0
175,299000.0,95.0
176,389000.0,124.0
177,399000.0,220.0
178,398000.0,220.0
179,420000.0,147.0
180,230000.0,91.06
181,206810.0,130.0
182,435000.0,150.0
183,1690000.0,813.0
184,297000.0,128.0
185,275000.0,100.0
186,295000.0,144.0
187,485000.0,173.0
188,449000.0,160.0
189,335000.0,115.0
190,206810.0,129.0
191,510000.0,150.0
192,530000.0,240.0
193,349000.0,95.0
194,315000.0,130.0
195,310000.0,145.0
196,415880.0,116.0
197,428750.0,125.0
198,299460.0,122.0
199,343730.0,113.0
200,369470.0,129.0
201,368520.0,124.0
202,128500.0,93.0
203,659000.0,140.0
204,415885.0,110.0
205,447646.0,132.0
206,657646.0,132.0
207,519900.0,139.0
208,569000.0,220.0
209,490000.0,160.0
210,399825.0,102.0
211,409998.0,102.0
212,349000.0,120.0
213,890000.0,290.0
214,569000.0,220.0
215,592000.0,180.0
216,565000.0,158.0
217,267511.0,110.0
218,319919.0,136.0
219,398802.0,162.0
220,1600000.0,344.08
221,465000.0,230.0
222,350000.0,140.0
223,150000.0,120.0
224,595000.0,560.0
225,1250000.0,258.0
226,449500.0,245.0
227,615000.0,150.0
228,1800000.0,380.0
229,335885.0,110.0
230,367646.0,132.0
231,439900.0,139.0
232,319825.0,102.0
233,329998.0,102.0
234,409000.0,218.0
235,360000.0,120.0
236,280000.0,153.0
237,549000.0,170.0
238,680000.0,217.0
239,241230.0,100.0
240,425000.0,130.0
241,496640.0,148.0
242,330160.0,112.0
243,1295000.0,234.0
244,1465000.0,247.0
245,310000.0,125.0
246,1250000.0,310.0
247,595000.0,141.0
248,975000.0,324.0
249,340358.0,126.0
250,649000.0,200.0
251,348000.0,140.0
252,1200000.0,315.0
253,499500.0,193.0
254,685000.0,148.0
255,2000000.0,730.0
256,375000.0,145.0
257,375000.0,142.0
258,375000.0,145.0
259,865000.0,172.0
260,475000.0,172.0
261,455000.0,187.0
262,510885.0,110.0
263,542646.0,132.0
264,614900.0,139.0
265,494825.0,102.0
266,504998.0,102.0
267,434998.0,102.0
268,424825.0,102.0
269,544900.0,139.0
270,472646.0,132.0
271,440885.0,110.0
272,240000.0,130.0
273,309000.0,140.0
274,479000.0,210.0
275,420000.0,127.0
276,299000.0,118.0
277,399000.0,171.0
278,649000.0,172.0
279,698000.0,338.0
280,308700.0,108.0
281,220000.0,128.8
282,649900.0,240.0
283,236000.0,122.0
284,678000.0,175.0
285,459000.0,153.0
286,230000.0,81.0
287,315000.0,116.0
288,295000.0,109.25
289,318000.0,164.0
290,795000.0,240.0
291,269000.0,130.0
292,640000.0,168.0
293,249000.0,120.0
294,425000.0,200.0
295,649000.0,172.0
296,219000.0,108.0
297,295000.0,145.0
298,399000.0,200.0
299,405000.0,158.0
300,409749.0,149.0
301,431109.0,148.0
302,950000.0,577.0
303,380000.0,120.0
304,259000.0,111.6
305,568000.0,206.0
306,283000.0,124.0
307,364000.0,143.0
308,359000.0,141.0
309,1110000.0,204.0
310,725000.0,210.0
311,2500000.0,650.0
312,435000.0,160.0
313,408000.0,167.0
314,373000.0,173.0
315,249990.0,116.0
316,224990.0,116.0
317,290000.0,128.0
318,540000.0,278.0
319,275000.0,100.0
320,289000.0,106.0
321,398000.0,190.0
322,550000.0,320.0
323,140000.0,95.0
324,342000.0,267.0
325,985000.0,307.2
326,850000.0,168.0
327,590000.0,190.0
328,935000.0,315.0
329,505000.0,190.0
